sourceNode, Destination, latency
node4, node88, 0.09180914014577865
node4, node89, 0.01746171209961176
node4, node90, 0.130257760733366
node4, node91, 0.07969821467995644
node4, node92, 0.12262822538614274
node4, node93, 0.09500989951193332
node4, node94, 0.3211797535419464
node4, node95, 0.2725002825260162
node4, node96, 0.08057264909148217
node4, node97, 0.10491822808980941
node4, node98, 0.17903518825769424
node4, node99, 0.27309201657772064
node5, node0, 0.3683339685201645
node5, node1, 0.05050695985555649
node5, node2, 0.3192126899957657
node5, node3, 0.18263839334249496
node5, node4, 0.1760963648557663
node5, node6, 0.27244849503040314
node5, node7, 0.47996309101581575
node5, node8, 0.06721758171916008
node5, node9, 0.24657389670610427
node5, node10, 0.20806593745946883
node5, node11, 0.20466556996107102
node5, node12, 0.15429514050483703
node5, node13, 0.08712138533592224
node5, node14, 0.26304377019405367
node5, node15, 0.3819642037153244
node5, node16, 0.12038835287094116
node5, node17, 0.05399227030575275
node5, node18, 0.3076578348875046
node5, node19, 0.1811021789908409
node5, node20, -0.5500048294663429
node5, node21, 0.17280493676662445
node5, node22, 0.30754759907722473
node5, node23, 0.12268380895256996
node5, node24, 0.017601816542446615
node5, node25, 0.16180178821086882
node5, node26, 0.1914658010005951
node5, node27, 0.009988654032349586
node5, node28, 0.04265334159135818
node5, node29, 0.08426580429077149
node5, node30, 0.030218687281012534
node5, node31, 0.017155770026147366
node5, node32, 0.3208094447851181
node5, node33, 0.16826595813035966
node5, node34, 0.12155134528875351
node5, node35, 0.06055784160271287
node5, node36, 0.027538091130554675
node5, node37, 0.046655870601534845
node5, node38, 0.5388328492641449
node5, node39, 0.16049410551786422
node5, node40, 0.12382846251130104
node5, node41, 0.17761512994766235
node5, node42, 0.2849626079201698
node5, node43, 0.3371109068393707
node5, node44, 0.05654024556279182
node5, node45, 0.03186737895011902
node5, node46, 0.24000051915645598
node5, node47, 0.17920573353767394
node5, node48, 0.22441186904907226
node5, node49, 0.024122954346239567
node5, node50, 0.11446052938699722
node5, node51, 0.08857227563858032
node5, node52, 0.38829041719436647
node5, node53, 0.03772098682820797
node5, node54, 0.6713226288557053
node5, node55, 0.0973371684551239
node5, node56, 0.23856452405452727
node5, node57, 0.03236336763948202
node5, node58, 0.034260375425219536
node5, node59, 0.08978202939033508
node5, node60, 0.17886853814125062
node5, node61, 0.04786027297377586
node5, node62, 0.25494303107261657
node5, node63, 0.026304459571838378
node5, node64, 0.04045720100402832
node5, node65, 0.11127602830529212
node5, node66, 0.3726234197616577
node5, node67, 0.2928432792425156
node5, node68, 0.023216583579778672
node5, node69, 0.0925730250775814
node5, node70, 0.17673894315958022
node5, node71, 0.030935964733362197
node5, node72, 0.13791870474815368
node5, node73, 0.09990549013018608
node5, node74, 0.1265794813632965
node5, node75, 0.20291679948568345
node5, node76, 0.03724788911640644
node5, node77, 0.22397655993700027
node5, node78, 0.09837635979056358
node5, node79, 0.10627366676926613
node5, node80, 0.17517240047454835
node5, node81, 0.5655163288116455
node5, node82, 0.08605179265141487
node5, node83, 0.04989944212138653
node5, node84, 0.249417844414711
node5, node85, 0.07305169105529785
node5, node86, 0.1578998625278473
node5, node87, 0.31105086505413054
node5, node88, 0.04724951647222042
node5, node89, 0.15485591441392899
node5, node90, 0.02496815863996744
node5, node91, 0.22116725146770477
node5, node92, 0.08221405968070031
node5, node93, 0.18255616277456282
node5, node94, 0.2896559327840805
node5, node95, 0.08594823777675628
node5, node96, 0.10428400412201881
node5, node97, 0.17583538591861725
node5, node98, 0.11761983036994934
node5, node99, 0.05563792921602726
node6, node0, 0.26483515053987505
node6, node1, 0.04669325463473797
node6, node2, 0.06182439662516117
node6, node3, 0.062190239876508714
node6, node4, 0.2912212014198303
node6, node5, 0.11777691766619683
node6, node7, 0.5217296451330184
node6, node8, 0.1941249042749405
node6, node9, 0.25682558715343473
node6, node10, 0.16949818432331085
node6, node11, 0.1753085047006607
node6, node12, 0.09818179905414581
node6, node13, 0.03851444311439991
node6, node14, 0.05808922052383423
node6, node15, 0.022865678183734417
node6, node16, 0.0980740375816822
node6, node17, 0.16065982729196548
node6, node18, 0.3995925962924957
node6, node19, 0.03350178152322769
node6, node20, 0.2873823344707489
node6, node21, 0.03854621239006519
node6, node22, 0.22317906767129897
node6, node23, 0.030401966720819473
node6, node24, 0.08617981225252151
node6, node25, 0.2765985518693924
node6, node26, 0.1409555345773697
node6, node27, 0.2602506548166275
node6, node28, 0.14146435260772705
node6, node29, 0.23474794924259185
node6, node30, 0.250931091606617
node6, node31, 0.29445155560970304
node6, node32, 0.12774347960948945
node6, node33, 0.3094333946704865
node6, node34, 0.5027455911040306
node6, node35, 0.2824419468641281
node6, node36, 0.11961656585335731
node6, node37, 0.33139826357364655
node6, node38, 0.17234733700752258
node6, node39, 0.017943333089351653
node6, node40, 0.10545343682169914
node6, node41, 0.03608939684927463
node6, node42, 0.13002863377332688
node6, node43, 0.10860882923007012
node6, node44, 0.09921738728880883
node6, node45, 0.27962897419929506
node6, node46, 0.381558945775032
node6, node47, 0.16179958879947662
node6, node48, 0.24017953872680664
node6, node49, 0.1031640537083149
node6, node50, 0.29970321953296664
node6, node51, 0.25195819288492205
node6, node52, 0.345333394408226
node6, node53, 0.34257144927978517
node6, node54, 0.09942429587244987
node6, node55, 0.01671649171039462
node6, node56, 0.09306197464466096
node6, node57, 0.2712578266859055
node6, node58, 0.18582403361797334
